deal_id	has_MR	prom_length	price	discount_pct	coupon_duration	featured	limited_supply	revenue	ps	ps_logit	revenue_scaled	ps_quintile	log_revenue
heli-flights	1	4	99	51	185	1	1	53460	0.25917879242946673	-1.0502411690522093	2.363168950290463	2	10.88668898969291
gl-champion-series-tennis-electric-factory	1	2	95	41	9	0	1	18050	0.23023628689404377	-1.2069774857601703	0.4088230367838857	2	9.800900963761027
realm-of-terror-horror-experience	1	3	25	50	38	0	1	9500	0.2884108105442425	-0.9031148745345173	-0.06306788556802725	3	9.159047077588632
newport-gourmet	1	3	50	50	369	0	1	4500	0.5117717798733834	0.04709582250580291	-0.33902748928259624	5	8.411832675758411
the-clayroom	1	4	25	52	185	0	1	14500	0.32520441934366995	-0.7299558343350827	0.21289171814654173	3	9.581903928408666
connors-farm	1	4	19	50	36	1	0	19000	0.37457920473056494	-0.512621420418201	0.4612553614896538	4	9.852194258148577
urban-kayaks-1	1	2	30	50	266	0	1	24600	0.5460746140664802	0.18482278583711068	0.7703301176499711	5	10.110501721920453
bell-view-acres-chicago	1	3	49	53	369	0	1	7840	0.5079694349432715	0.031880439672116394	-0.15468647400126415	5	8.966994113344454
slice-of-chicago-pizza	1	2	22	51	56	0	1	5720	0.3790631638084236	-0.4935265133818468	-0.2716933459762414	4	8.651724084373843
make-a-messterpiece-2	1	3	11	50	81	0	1	11000	0.34718377765805714	-0.6314413953828546	0.019719995546343443	4	9.305650551780507
odyssey-fun-farm	1	2	10	50	37	0	1	10000	0.3895187986264694	-0.4493353732669713	-0.03547192519657035	4	9.210340371976184
witches-cottage	1	6	10	58	33	0	0	2300	0.18635802413771763	-1.4738507516569168	-0.4604497149170066	1	7.7406644019172415
astoria-bowl-nyc-1	1	3	9	50	186	0	1	4590	0.43913601688309023	-0.24466922325545679	-0.33406021641573397	5	8.431635303054591
nj-childrens-museum-2	1	3	10	50	186	0	1	2800	0.4370203983586276	-0.2532635237680624	-0.4328537545455497	5	7.937374696163295
outdoor-bound-adventures-ny-1	1	4	29	52	368	0	1	9570	0.4699857122052418	-0.12020166960740883	-0.059204451116023286	5	9.166388484447
peoples-choice-family-fun	1	2	18	63	186	0	1	5940	0.47581678755014584	-0.09680838525674254	-0.25955112341280034	5	8.68946441235669
school-products-yarn	1	4	25	50	185	0	1	16000	0.32869733848666816	-0.7140827121042213	0.2956795992609124	3	9.680344001221918
studio-maya-nyc	1	3	39	61	369	0	0	3900	0.6037050010482091	0.4209267889965178	-0.3721426417283445	5	8.268731832117737
bev-art	1	3	49	51	186	0	1	13230	0.3551728314774648	-0.5963778048751189	0.1427979788030412	4	9.490242257109001
csi-experience-nyc	1	4	14	50	43	1	1	14000	0.30754819224472757	-0.8116068462368149	0.18529575777508484	3	9.546812608597396
imagine-lifestyles	1	4	159	68	36	0	1	159000	0.07357459314614037	-2.533033767482824	8.188124265497585	1	11.976659481202368
east-somerville-foodie-crawl	1	5	20	60	15	1	1	9200	0.20270408067243237	-1.3694787165401054	-0.0796254617909014	1	9.126958763037132
heaven-hill-farm-new-york	1	3	5	50	19	0	1	500	0.31043083278472594	-0.7981058914342257	-0.5597951722542515	3	6.214608098422191
stylefixx-boston	1	4	15	50	2	0	1	7200	0.2188687295960256	-1.27227107375626	-0.190009303276729	2	8.881836305004146
gl-stand-up-for-charity	1	3	34	51	16	0	1	4080	0.2561956350232252	-1.0658366980181437	-0.36220809599462	2	8.313852267398207
liberty-science-center-nyc-1	1	3	7	53	68	0	1	630	0.33925143734423313	-0.6666318426247091	-0.5526202225576726	4	6.4457198193855785
creepy-hallow-halloween-fun-park	1	2	12	50	22	0	1	3840	0.3730108735881822	-0.5193216273067808	-0.37545415697291934	4	8.253227645581772
devils-haven-haunted-house	1	2	20	50	21	0	0	11000	0.4439860991315569	-0.22500004182014477	0.019719995546343443	5	9.305650551780507
gl-walk-in-the-woods-timeline-theatre-company	1	3	15	56	24	0	1	1350	0.28616790685155263	-0.9140690455813351	-0.5128820396227747	3	7.2078598714324755
north-wall-chicago	1	2	35	56	217	0	1	8750	0.4804498679461596	-0.0782404165995233	-0.1044618261252126	5	9.07680897935166
harlem-lanes-nyc	1	3	10	57	186	0	0	5300	0.514440078728638	0.05777638154571143	-0.2948739526882652	5	8.575462099540212
gl-skokie-valley	1	3	18	51	3	0	0	1980	0.3526319700732723	-0.6074900226406476	-0.478111129554739	4	7.590852123688581
